Multiplier,SSIM,Cost function
mul4444,0.9883534773911544,2679.016233600001
mul4434,0.987467140549678,2690.956150664401
mul3342,0.985873268159202,2761.2014152896004
mul3442,0.985156892795376,2749.0962159864007
mul2444,0.9842393854639788,2737.013906880001
mul4144,0.9831250801134588,2747.032324920001
mul1344,0.9804310572951724,2759.1244938180007
mul4244,0.9768450933832624,2737.013906880001
mul9244,0.9727850424207054,2793.143724417001
mul9243,0.971570188681912,2805.343941067201
mul3244,0.9666965270733626,2749.0962159864007
mul9999,0.9978745225018965,2904.453409176001
mul8999,0.9978395030623688,2921.986959258601
mul9993,0.9969713070471772,2859.544135198801
mul9994,0.9962042999381792,2847.2504955030013
mul9984,0.9946937029857604,2864.5966605024005
mul9923,0.9928906173120624,2862.1540793340005
mul3994,0.9880753864222492,2802.785727168001
mul3943,0.9862846686750336,2758.6704471282005
mul3833,0.9853729905601716,2787.8889411684
mul4994,0.980789440052702,2790.609995016001
mul3944,0.9780633551331124,2746.5897323232007
mul3824,0.9759656396146602,2822.504037444
mul9324,0.9735140397997676,2805.343941067201
mul9394,0.972973385848486,2802.785727168001
mul3344,0.9719465140179906,2702.918957925601
mul3343,0.9693234990320831,2714.9046553836006
mul4394,0.9689625856504636,2746.5897323232007
mul3244,0.965671208108233,2749.0962159864007
mul3234,0.964786017175136,2761.2014152896004
mul3493,0.962988005305744,2758.6704471282005
mul3494,0.957343177218937,2746.5897323232007
mul4343,0.9565270948148212,2702.918957925601
mul4344,0.9508266493651268,2690.956150664401
mul4944,0.9441103954213652,2734.531907715001
mul3444,0.9344398952202496,2690.956150664401
mul9444,0.923466334807698,2734.531907715001
mul4443,0.9204031180738712,2690.956150664401
mul4449,0.9119769928716344,2734.531907715001
mul4444,0.9080859391564524,2679.016233600001
mul4442,0.9026071221652006,2737.013906880001
mul4414,0.8875609899990738,2747.032324920001
mul4144,0.8816532038836599,2747.032324920001
mul1444,0.8573459525646905,2747.032324920001
mul9999,0.9976784947861822,2904.453409176001
mul9998,0.9976452420949404,2921.986959258601
mul9993,0.9968807502282584,2859.544135198801
mul9994,0.9965482766886428,2847.2504955030013
mul9923,0.9958030506497332,2862.1540793340005
mul9924,0.9948595885982412,2849.835955140001
mul4993,0.9944287411847048,2802.785727168001
mul4983,0.9939509044141046,2819.9923384860003
mul4923,0.993492656772693,2805.343941067201
mul9943,0.9934549169741862,2802.785727168001
mul4994,0.992530930703496,2790.609995016001
mul3949,0.9918568674285708,2802.785727168001
mul3944,0.9911843641223894,2746.5897323232007
mul4943,0.989320103208489,2746.5897323232007
mul4933,0.9886478909068872,2758.6704471282005
mul4944,0.9865819283595768,2734.531907715001
mul4843,0.9820312066212804,2763.6089585580003
mul9494,0.9775623889881266,2790.609995016001
mul3494,0.9762879385082276,2746.5897323232007
mul4499,0.975128029469848,2790.609995016001
mul9493,0.9745190821616532,2802.785727168001
mul4394,0.97426448764974,2746.5897323232007
mul4494,0.972983092631757,2734.531907715001
mul3444,0.9712500829075228,2690.956150664401
mul3434,0.9709167181697468,2702.918957925601
mul3334,0.9696625114988568,2714.9046553836006
mul4344,0.9669535544837364,2690.956150664401
mul4444,0.9652221160263236,2679.016233600001
mul3433,0.9634927925973108,2714.9046553836006
mul4343,0.961208252783403,2702.918957925601
mul4194,0.9580861349377742,2803.247220634201
mul3343,0.957224745225854,2714.9046553836006
mul1444,0.9434787159555904,2747.032324920001
mul9998,0.999319943532526,2921.986959258601
mul9999,0.9992442245242312,2904.453409176001
mul9993,0.9989909006153376,2859.544135198801
mul8994,0.9986466027394836,2864.5966605024005
mul4923,0.9978850439054652,2805.343941067201
mul4993,0.9978374844763116,2802.785727168001
mul9944,0.997477811463104,2790.609995016001
mul8943,0.9971935270859972,2819.9923384860003
mul3994,0.9969383910947986,2802.785727168001
mul9894,0.9968032091827316,2864.5966605024005
mul3934,0.9961197556918382,2758.6704471282005
mul4943,0.9959498190538476,2746.5897323232007
mul3949,0.99537572980709,2802.785727168001
mul4949,0.9952312774791122,2790.609995016001
mul4944,0.994262041193033,2734.531907715001
mul4844,0.9924021193709682,2751.5033025480006
mul9493,0.9902540836971369,2802.785727168001
mul4493,0.9889096257869304,2746.5897323232007
mul9449,0.9880818161276737,2790.609995016001
mul4443,0.9868665962138198,2690.956150664401
mul3444,0.986063898853948,2690.956150664401
mul4442,0.9850691715399226,2737.013906880001
mul4444,0.9836924363029949,2679.016233600001
mul4414,0.982085178569652,2747.032324920001
