Multiplier,SSIM,Cost function
mul4943,0.990049859260614,2746.5897323232007
mul4944,0.9894719141663516,2734.531907715001
mul4294,0.969639735717468,2793.143724417001
mul4244,0.9662688040632263,2737.013906880001
mul3444,0.930895917759686,2690.956150664401
mul4434,0.9262086194667876,2690.956150664401
mul4444,0.9236675127313128,2679.016233600001
mul4144,0.8800012428025763,2747.032324920001
mul1144,0.8668400784216549,2815.9001877600003
mul9994,0.998367168740005,2847.2504955030013
mul9934,0.9975417591272444,2802.785727168001
mul9944,0.9971491005711256,2790.609995016001
mul4994,0.995151212102024,2790.609995016001
mul4944,0.99389839314684,2734.531907715001
mul4844,0.9930346930689032,2751.5033025480006
mul9344,0.9886025994735234,2746.5897323232007
mul4344,0.986052232667352,2690.956150664401
mul4444,0.9840049591200288,2679.016233600001
mul4443,0.983972930351386,2690.956150664401
mul4414,0.9781529861468076,2747.032324920001
mul1444,0.9747511615191587,2747.032324920001
mul2444,0.9689093394677136,2737.013906880001
mul2144,0.9598868213827304,2805.7512939840008
mul9994,0.998273366414596,2847.2504955030013
mul9993,0.9976634470563004,2859.544135198801
mul4923,0.9955365221875048,2805.343941067201
mul4994,0.9948026482379492,2790.609995016001
mul3944,0.9935640855090966,2746.5897323232007
mul4944,0.9891378477856178,2734.531907715001
mul4934,0.9832680266242194,2746.5897323232007
mul4933,0.9813474634419188,2758.6704471282005
mul4494,0.9786855582863644,2734.531907715001
mul3444,0.9768282622773388,2690.956150664401
mul4444,0.9733796484743702,2679.016233600001
mul4434,0.9696208356705206,2690.956150664401
mul4144,0.9650261133951196,2747.032324920001
mul1144,0.9393733271121202,2815.9001877600003
mul9999,0.995828606384435,2904.453409176001
mul9994,0.9947736457138856,2847.2504955030013
mul3944,0.9934722208980964,2746.5897323232007
mul3924,0.993327542382878,2805.343941067201
mul3844,0.9919789595092964,2763.6089585580003
mul4943,0.9899413777378896,2746.5897323232007
mul4944,0.987708894161195,2734.531907715001
mul3344,0.98003855804845,2702.918957925601
mul3443,0.9780089850251126,2702.918957925601
mul3444,0.976848066666514,2690.956150664401
mul4444,0.9695584401905863,2679.016233600001
mul4414,0.965426853768669,2747.032324920001
mul4144,0.956644863510535,2747.032324920001
mul1414,0.9406140134478692,2815.9001877600003
mul9999,0.9983545394913556,2904.453409176001
mul9994,0.9950642385883716,2847.2504955030013
mul2934,0.9937843737786712,2805.343941067201
mul2943,0.9919522261892628,2805.343941067201
mul4949,0.9904759507698012,2790.609995016001
mul4994,0.989069028714326,2790.609995016001
mul4944,0.9832060801729188,2734.531907715001
mul3834,0.9716112645393332,2775.7375047648
mul4244,0.9706740063531528,2737.013906880001
mul2434,0.9662344260684876,2749.0962159864007
mul4344,0.9561430800931258,2690.956150664401
mul4444,0.939875618166362,2679.016233600001
mul3144,0.9104558428432604,2759.1244938180007
mul4144,0.9022064286808116,2747.032324920001
mul9999,0.997800804743183,2904.453409176001
mul4949,0.983903358111827,2790.609995016001
mul4944,0.976273930084018,2734.531907715001
mul3944,0.9557492850969498,2746.5897323232007
mul4434,0.9452334447653462,2690.956150664401
mul4934,0.9399619093448394,2746.5897323232007
mul2344,0.9187087075991556,2749.0962159864007
mul4244,0.9076904730525356,2737.013906880001
mul4344,0.8991369579869207,2690.956150664401
mul3344,0.8691909056167166,2702.918957925601
mul9443,0.828397788308589,2746.5897323232007
mul4444,0.8178808415287635,2679.016233600001
mul3444,0.7931572575699252,2690.956150664401
mul3414,0.7398980901928225,2759.1244938180007
mul9993,0.9988210986116994,2859.544135198801
mul4993,0.9977712379736328,2802.785727168001
mul4943,0.9969430840677924,2746.5897323232007
mul3944,0.9960504443389376,2746.5897323232007
mul4944,0.9947141538801684,2734.531907715001
mul4934,0.9941428631684952,2746.5897323232007
mul2944,0.9922539541405844,2793.143724417001
mul4244,0.9899209607743276,2737.013906880001
mul4394,0.9824818415187232,2746.5897323232007
mul4344,0.9822602562440396,2690.956150664401
mul4443,0.9771414314075264,2690.956150664401
mul4444,0.9657291185934356,2679.016233600001
mul4144,0.9265732490424646,2747.032324920001
mul1144,0.9154902739224452,2815.9001877600003
mul9993,0.9965050868790436,2859.544135198801
mul9994,0.9960616606350124,2847.2504955030013
mul9944,0.989424272127864,2790.609995016001
mul4943,0.9868145567894988,2746.5897323232007
mul4944,0.985611249461662,2734.531907715001
mul3943,0.9765521139798148,2758.6704471282005
mul3833,0.9700480737493226,2787.8889411684
mul4449,0.966130452855112,2734.531907715001
mul4444,0.964349615097104,2679.016233600001
mul3444,0.9551071312688332,2690.956150664401
mul4344,0.9398347131662425,2690.956150664401
mul4334,0.9370659696024536,2702.918957925601
mul3344,0.9289746123908074,2702.918957925601
mul2344,0.9093436738775408,2749.0962159864007
mul3998,0.9945114492746742,2876.9381316000004
mul3939,0.9932822622005896,2814.9843495168006
mul9944,0.9911849665257768,2790.609995016001
mul3934,0.9900000416439628,2758.6704471282005
mul4944,0.9821909138047588,2734.531907715001
mul1944,0.979657779712142,2803.247220634201
mul4244,0.966725061449646,2737.013906880001
mul1444,0.9319021991095,2747.032324920001
mul4844,0.9231196988336297,2751.5033025480006
mul4444,0.9151723645720669,2679.016233600001
mul3444,0.8986650958468146,2690.956150664401
mul4343,0.8901856986932501,2702.918957925601
mul4144,0.1356407090646171,2747.032324920001
mul1144,0.133391541869121,2815.9001877600003
mul9999,0.989374145999778,2904.453409176001
mul4999,0.9862217281975392,2847.2504955030013
mul3994,0.98142957660591,2802.785727168001
mul3933,0.9787585010297476,2770.7740521300007
mul4943,0.9744356989486612,2746.5897323232007
mul4944,0.9689030767929088,2734.531907715001
mul4844,0.958545790703736,2751.5033025480006
mul4493,0.8958712177736281,2746.5897323232007
mul4444,0.8810594378238095,2679.016233600001
mul3344,0.873222683805494,2702.918957925601
mul4344,0.8669338042943691,2690.956150664401
mul1444,0.8370110725879397,2747.032324920001
mul4144,0.8206853592814545,2747.032324920001
mul1144,0.7820083958561623,2815.9001877600003
mul9999,0.9949639891678982,2904.453409176001
mul4999,0.9939605160068858,2847.2504955030013
mul4994,0.992103156377973,2790.609995016001
mul4941,0.9897881224244702,2803.247220634201
mul4942,0.9849192707857992,2793.143724417001
mul4944,0.9828546881869143,2734.531907715001
mul4844,0.9749127196720204,2751.5033025480006
mul4444,0.932501189405432,2679.016233600001
mul4244,0.9253547080803608,2737.013906880001
mul4494,0.9180156119322996,2734.531907715001
